exp,prod,sum,const,nodes,unique_feats,filename,algo
10,1,15,38,64,32,COIL20_new/COIL20_run_3/COIL20-0.026103251453163112-1024.0.tree,NEW
10,0,11,33,54,30,COIL20_new/COIL20_run_3/COIL20-0.026840976414038986-165.0.tree,NEW
4,0,3,25,32,22,COIL20_new/COIL20_run_3/COIL20-0.033463908450704904-79.0.tree,NEW
10,1,14,37,62,33,COIL20_new/COIL20_run_3/COIL20-0.026117433769281717-576.0.tree,NEW
1,0,0,6,7,6,COIL20_new/COIL20_run_3/COIL20-0.12231032025486238-14.0.tree,NEW
10,1,16,39,66,35,COIL20_new/COIL20_run_3/COIL20-0.025847212907072425-1045.0.tree,NEW
1,0,1,14,16,14,COIL20_new/COIL20_run_3/COIL20-0.06990702315746333-30.0.tree,NEW
8,25,5,52,90,28,COIL20_new/COIL20_run_4/COIL20-0.02689258234592723-193143.5.tree,NEW
8,19,5,46,78,28,COIL20_new/COIL20_run_4/COIL20-0.026895144012221484-11154.0.tree,NEW
8,5,4,30,47,28,COIL20_new/COIL20_run_4/COIL20-0.027901133653774612-115.0.tree,NEW
8,15,5,42,70,28,COIL20_new/COIL20_run_4/COIL20-0.02696489119904566-2934.0.tree,NEW
9,8,4,34,55,28,COIL20_new/COIL20_run_4/COIL20-0.027235787409642-256.0.tree,NEW
8,19,5,46,78,28,COIL20_new/COIL20_run_4/COIL20-0.02691978258439509-5325.75.tree,NEW
7,8,4,33,52,28,COIL20_new/COIL20_run_4/COIL20-0.02750931515015903-211.0.tree,NEW
1,0,1,8,10,8,COIL20_new/COIL20_run_4/COIL20-0.1003505873202174-18.0.tree,NEW
3,3,3,26,35,24,COIL20_new/COIL20_run_4/COIL20-0.03649934328191401-64.0.tree,NEW
0,2,1,17,20,16,COIL20_new/COIL20_run_4/COIL20-0.0653853095424397-35.0.tree,NEW
7,8,5,34,54,29,COIL20_new/COIL20_run_4/COIL20-0.027385609956032564-224.0.tree,NEW
2,1,3,24,30,23,COIL20_new/COIL20_run_4/COIL20-0.039540704877413124-52.0.tree,NEW
0,2,1,18,21,17,COIL20_new/COIL20_run_4/COIL20-0.06366732804232833-37.0.tree,NEW
2,2,3,25,32,23,COIL20_new/COIL20_run_4/COIL20-0.038587252682763695-55.0.tree,NEW
7,11,5,37,60,27,COIL20_new/COIL20_run_4/COIL20-0.027464602429390694-215.0.tree,NEW
0,1,1,16,18,14,COIL20_new/COIL20_run_4/COIL20-0.06819626089872555-32.0.tree,NEW
8,13,5,40,66,30,COIL20_new/COIL20_run_4/COIL20-0.027208924845368576-396.0.tree,NEW
0,0,0,1,1,1,COIL20_new/COIL20_run_4/COIL20-0.2825053212795292-2.0.tree,NEW
2,1,2,23,28,22,COIL20_new/COIL20_run_4/COIL20-0.040719292607497404-50.0.tree,NEW
9,28,5,56,98,29,COIL20_new/COIL20_run_4/COIL20-0.026889100808555333-656782.25.tree,NEW
8,19,5,46,78,28,COIL20_new/COIL20_run_4/COIL20-0.02693507107459525-3772.75.tree,NEW
8,15,5,42,70,28,COIL20_new/COIL20_run_4/COIL20-0.027034079476861594-907.25.tree,NEW
1,1,2,23,27,22,COIL20_new/COIL20_run_4/COIL20-0.042110160965794396-48.0.tree,NEW
5,3,3,26,37,24,COIL20_new/COIL20_run_4/COIL20-0.035501492752813-78.0.tree,NEW
0,0,0,4,4,4,COIL20_new/COIL20_run_4/COIL20-0.1587127277554216-8.0.tree,NEW
8,18,6,46,78,28,COIL20_new/COIL20_run_4/COIL20-0.02691871134212709-10321.0.tree,NEW
8,14,5,41,68,30,COIL20_new/COIL20_run_4/COIL20-0.027159636057082215-460.0.tree,NEW
8,17,5,44,74,28,COIL20_new/COIL20_run_4/COIL20-0.026905099578955094-10950.0.tree,NEW
0,1,0,7,8,7,COIL20_new/COIL20_run_4/COIL20-0.12249498146285148-14.0.tree,NEW
0,1,0,8,9,7,COIL20_new/COIL20_run_4/COIL20-0.11323814414263395-16.0.tree,NEW
7,10,5,36,58,29,COIL20_new/COIL20_run_4/COIL20-0.027646096486324934-165.0.tree,NEW
5,4,4,28,41,26,COIL20_new/COIL20_run_4/COIL20-0.03434916210224381-85.0.tree,NEW
8,25,5,52,90,28,COIL20_new/COIL20_run_4/COIL20-0.026894980997093088-41627.75.tree,NEW
7,10,5,36,58,28,COIL20_new/COIL20_run_4/COIL20-0.027793159419479574-162.0.tree,NEW
5,6,4,30,45,26,COIL20_new/COIL20_run_4/COIL20-0.032105258868023845-111.0.tree,NEW
8,19,5,46,78,29,COIL20_new/COIL20_run_4/COIL20-0.026926664151576407-4374.5.tree,NEW
0,0,0,3,3,3,COIL20_new/COIL20_run_4/COIL20-0.16272639308070636-6.0.tree,NEW
1,1,2,22,26,21,COIL20_new/COIL20_run_4/COIL20-0.04771599504434065-46.0.tree,NEW
9,13,5,40,67,30,COIL20_new/COIL20_run_4/COIL20-0.02712388916834335-629.0.tree,NEW
2,3,3,26,34,23,COIL20_new/COIL20_run_4/COIL20-0.0384875107124229-62.0.tree,NEW
0,0,0,6,6,6,COIL20_new/COIL20_run_4/COIL20-0.13376139941500848-12.0.tree,NEW
5,2,3,25,35,24,COIL20_new/COIL20_run_4/COIL20-0.035552761010507306-71.0.tree,NEW
0,0,0,2,2,2,COIL20_new/COIL20_run_4/COIL20-0.174186298345629-4.0.tree,NEW
8,17,5,44,74,28,COIL20_new/COIL20_run_4/COIL20-0.02696688231239286-1400.0.tree,NEW
