,loss,second_objective,generations,metric
5,0.09444571123755313,292.0,50,functional
6,0.09891841394025641,16406.0,50,functional
7,0.10104014935988614,290.0,50,functional
8,0.10578926031294394,288.0,50,functional
9,0.1091821550497864,28.0,50,functional
10,0.11668944523470864,16394.0,50,functional
11,0.1209083285917491,74.0,50,functional
12,0.1256242958748211,16392.0,50,functional
13,0.12573570412517715,520.0,50,functional
14,0.18352787339971532,16.0,50,functional
15,0.19344726173541893,518.0,50,functional
16,0.1950500213371263,14.0,50,functional
17,0.2005854694167859,6.0,50,functional
18,0.2407901351351357,4.0,50,functional
19,0.28105966571834995,256.0,50,functional
20,0.2812751920341394,2.0,50,functional
